,benefit_rating,comp_name,culture_rating,identifier,job_link,job_location,job_posted,job_title,jsecurity_rating,mgmt_rating,overall_link,overall_rating,wl_bal_rating
0,,MIT,,MIT Research Assistant Bio-IT,http://www.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DK2C-pmrF0sqrfJr4Li3c4X7YMnrkXddQXZaL_6xg-NVlWeClvJ5AeStXwLWSAkuV0085Xtbh_A_e0xgrjtThostUDj8j4qRJ3Dx_dF4XO83Mcm5t8v8P8fqTQQEoiZNr9rLJtGKVN8Bjjc-dGojT_LBjG62a97hQNqVLNbslxhsURUewBPm-oqOzNqqiF9zqi6zffv3f9W7ovZDNyd-IuiXJYIJ9jbtwgfRhq0OEn-azodZnbjphfDDJDeG_3N00DFZLG7vkDx6y5eO-Gl18kBVUT8qGJInwbBqXkdFNx8oQKxCR0hwURpEmP57aw9T8TXAlPgg-Ep1NTZEdX-u0FU6etlOZ6AAW1CBxvj9WZ-HOhfHG1qVr4Xcpbw9vM9NaNcqcPpXe1MSS45YS1UA6MsAG4tWPwbYh23Tb5Ws-Ln75BH0C2xsUcv-Ar6uniLqncLZlUNrhBxUEW0rwOMgAIdn7Q0CSXCBBD6BC-ECWbz2bH5Kgx59M8WB6w0bxyMvpKYdP6FIEjpbzIVzngB7NBmwsvbPq75ULEZe09W6Q4i8Dhi__pklgdzSmqaafCocAMuMfc2kRx2yuvQzh2q7QHz__T5Bipe324Rn_1LuWtt8a8Ry_7KixQ_zsRp13A6HVzYFY5p0u-vw==&p=1&sk=&fvj=0,,5 days ago,Research Assistant Bio-IT,,,,,
1,,MIT,,MIT Research Assistant Bio-IT,http://www.indeed.com/rc/clk?jk=348b31990a2f6382&fccid=71cf745ec1b3aae4,"Cambridge, MA",5 days ago,Research Assistant Bio-IT,,,http://www.indeed.com/cmp/Massachusetts-Institute-of-Technology,,
2,,University of Massachusetts Lowell,,University of Massachusetts Lowell Assistant Professor Applied Mathematics,http://www.indeed.com/rc/clk?jk=d434b2f97e0d96e1&fccid=7ad0f1ddb982cbad,"Lowell, MA",9 days ago,Assistant Professor Applied Mathematics,,,http://www.indeed.com/cmp/University-of-Massachusetts-Lowell,,
3,,Harvard University,,Harvard University Research Technician,http://www.indeed.com/rc/clk?jk=824697e1670af708&fccid=5507a64404691526,"Boston, MA",17 days ago,Research Technician,,,http://www.indeed.com/cmp/Harvard-University,,
4,,Boston University,,"Boston University EPIGENOMICS/GENOMICS FACULTY POSITION, Center for Regenerative Medicine",http://www.indeed.com/rc/clk?jk=eeb234069010609b&fccid=2e7c6e6217aa02b5,"Boston, MA",14 days ago,"EPIGENOMICS/GENOMICS FACULTY POSITION, Center for Regenerative Medicine",,,http://www.indeed.com/cmp/Boston-University,,
5,,University of Massachusetts Boston,,"University of Massachusetts Boston Assistant/Associate Professor, Computer Science",http://www.indeed.com/rc/clk?jk=03dd57deb67d441a&fccid=c28c8d10e4fcf8e7,"Boston, MA",15 days ago,"Assistant/Associate Professor, Computer Science",,,http://www.indeed.com/cmp/University-of-Massachusetts-Boston,,
6,,The Forsyth Institute,,The Forsyth Institute Tenure-Track Position in Microbiology,http://www.indeed.com/rc/clk?jk=3e52fa7fb4b8b666&fccid=e1b28c8b2d860611,"Cambridge, MA 02142 (East Cambridge area)",25 days ago,Tenure-Track Position in Microbiology,,,http://www.indeed.com/cmp/The-Forsyth-Institute,,
7,,Boston University,,"Boston University CELLULAR AND MOLECULAR BIOLOGY OF G PROTEIN SIGNAL TRANSDUCTION, MED School of Medicine, Biochemistry",http://www.indeed.com/rc/clk?jk=2a6a410ae6522f53&fccid=2e7c6e6217aa02b5,"Boston, MA",30+ days ago,"CELLULAR AND MOLECULAR BIOLOGY OF G PROTEIN SIGNAL TRANSDUCTION, MED School of Medicine, Biochemistry",,,http://www.indeed.com/cmp/Boston-University,,
8,,Harvard University,,Harvard University Research Assistant III in Assay Development and Sample Preparation,http://www.indeed.com/rc/clk?jk=70f84e1bb79d7ee8&fccid=5507a64404691526,"Boston, MA",30+ days ago,Research Assistant III in Assay Development and Sample Preparation,,,http://www.indeed.com/cmp/Harvard-University,,
9,,Boston University,,"Boston University ASSOCIATE COMPUTATIONAL BIOLOGIST, MED School of Medicine, Computational Biomedicine",http://www.indeed.com/rc/clk?jk=c7decb71a0da752c&fccid=2e7c6e6217aa02b5,"Boston, MA",30+ days ago,"ASSOCIATE COMPUTATIONAL BIOLOGIST, MED School of Medicine, Computational Biomedicine",,,http://www.indeed.com/cmp/Boston-University,,
